student_id,name,branch,guardian_contact,mentor_id,rolling_attendance_90d,overall_avg_score,max_attempts_overall,avg_score_Mathematics-I,avg_score_Physics,avg_score_Programming,amount_due,amount_paid,status,overdue_days,risk_score,risk_reasons,risk_band
2000,Yahvi Khanna,Mechanical,9876540000,1042,93.33333333333333,77.16000000000001,3,81.2,75.06333333333333,75.21666666666667,150000,150000,Paid,39,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2001,Kala Gara,Mechanical,9876540001,1011,95.55555555555556,78.37888888888888,3,79.47000000000001,78.63,77.03666666666668,150000,150000,Paid,44,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2002,Yadavi Gala,Mechanical,9876540002,1003,78.88888888888889,68.48111111111112,3,73.32666666666667,73.25333333333333,58.86333333333334,150000,150000,Paid,54,85,"Attendance 78.89% (70-85), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2003,Wyatt Malhotra,Electrical,9876540003,1034,93.33333333333333,71.89888888888889,3,79.22666666666667,75.14666666666666,61.32333333333333,150000,150000,Paid,36,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2004,Sai Patla,Mechanical,9876540004,1018,93.33333333333333,78.61555555555555,3,84.46,77.41666666666667,73.97,150000,150000,Paid,50,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2005,Omaja Rastogi,Electronics,9876540005,1002,91.11111111111111,56.43666666666667,3,58.81666666666666,75.42333333333333,35.07,150000,150000,Paid,72,85,"Overall Avg Score 56.44% (50-60%), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2006,Wridesh Hayer,Mechanical,9876540006,1006,97.77777777777777,73.51222222222222,3,70.11666666666667,76.84666666666666,73.57333333333334,150000,150000,Paid,67,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2007,Waida Tata,Electronics,9876540007,1005,98.88888888888889,76.65666666666667,3,87.79333333333334,57.73666666666667,84.44,150000,150000,Paid,18,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2008,Vritti Lal,Electronics,9876540008,1018,94.44444444444444,74.52444444444444,3,79.86,63.453333333333326,80.26,150000,150000,Paid,59,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2009,Teerth Arora,Civil,9876540009,1020,91.11111111111111,56.03888888888889,3,76.17,23.626666666666665,68.32000000000001,150000,150000,Paid,16,70,"Overall Avg Score 56.04% (50-60%), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2010,Bhavya Borra,Computer Science,9876540010,1027,90.0,79.35444444444445,3,84.97,80.35000000000001,72.74333333333334,150000,20019,Partial,121,90,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Amber
2011,Praneel Khurana,Mechanical,9876540011,1018,95.55555555555556,76.93444444444444,3,75.56666666666666,76.22333333333333,79.01333333333334,150000,150000,Paid,43,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2012,Udarsh Ratti,Mechanical,9876540012,1001,97.77777777777777,78.19444444444444,3,70.74,84.19,79.65333333333334,150000,150000,Paid,37,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2013,Aarnav Pal,Computer Science,9876540013,1018,76.66666666666667,81.32777777777778,3,76.75,79.83,87.40333333333335,150000,150000,Paid,57,85,"Attendance 76.67% (70-85), Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2014,Shaurya Warrior,Electrical,9876540014,1025,95.55555555555556,76.22333333333333,3,66.67999999999999,82.76,79.23,150000,150000,Paid,24,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
2015,Aadhya Bansal,Mechanical,9876540015,1002,93.33333333333333,75.07,3,78.34666666666668,69.22333333333333,77.64,150000,150000,Paid,37,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2016,Pratyush Dugal,Electrical,9876540016,1017,97.77777777777777,69.88333333333334,3,78.29666666666667,63.43000000000001,67.92333333333333,150000,150000,Paid,41,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2017,Kamala Patla,Civil,9876540017,1023,97.77777777777777,77.01222222222222,3,78.7,70.86666666666666,81.47,150000,150000,Paid,45,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2018,Faraj Hora,Electrical,9876540018,1011,93.33333333333333,80.48444444444445,3,80.48333333333333,75.04333333333334,85.92666666666666,150000,150000,Paid,42,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2019,Dakshesh Chaudry,Electrical,9876540019,1018,96.66666666666667,70.80777777777777,3,67.54666666666667,67.64333333333333,77.23333333333333,150000,0,Overdue,69,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2020,Jagrati Roy,Electrical,9876540020,1040,90.0,64.74444444444445,3,76.75333333333333,32.526666666666664,84.95333333333333,150000,150000,Paid,41,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2021,Dayamai Prabhu,Mechanical,9876540021,1019,96.66666666666667,61.53333333333333,3,74.67333333333333,74.92,35.00666666666667,150000,0,Overdue,102,90,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (>90 days)",Amber
2022,Veda Ratta,Computer Science,9876540022,1021,96.66666666666667,76.49666666666667,3,68.79333333333334,78.82666666666667,81.87,150000,150000,Paid,60,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2023,Tripti Kota,Computer Science,9876540023,1041,97.77777777777777,72.22,3,77.85666666666667,63.906666666666666,74.89666666666666,150000,150000,Paid,55,75,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (31-90 days)",Amber
2024,Ladli Dayal,Computer Science,9876540024,1048,87.77777777777777,79.60333333333334,3,84.86333333333333,74.08,79.86666666666666,150000,150000,Paid,21,60,"Exhausted attempts for at least one subject, Attempts limit reached for at least one subject, Overdue fees (1-30 days)",Amber
